---config@码表分类=主码-2
---config@码表别名=CJKExt_A
㐂	aaab
㐄	ahk
㐞	adwn
㒼	amhy
㓚	ajh
㓛	avn
㓸	anfj
㔆	aqaj
㔈	adjj
㔋	ahnj
㔑	awnv
㔮	akfx
㔯	amkd
㔰	aqhi
㔱	avwi
㔲	awyv
㔳	awym
㔴	alaw
㔵	annw
㔶	aujm
㔷	agmw
㔸	arhm
㗡	awex
㗨	atdk
㙠	atdf
㚽	agnv
㜸	awnv
㝻	akgt
㠫	amyw
㠬	akfw
㠭	aaaa
㢣	aqka
㣉	aet
㤅	aqnu
㤍	agnn
㥦	adwn
㦯	acgd
㦴	atkd
㦶	agcf
㧬	amyr
㧭	abrj
㪚	ajty
㪛	adwc
㪸	adwf
㫷	adwj
㬫	aukj
㬾	atde
㭉	asu
㭟	awsu
㯺	ahns
㰥	anqw
㰲	akgw
㰼	adww
㰽	ajvw
㱳	ajdq
㲟	amdn
㲨	abtn
㲯	ahnn
㳟	awiu
㳼	akgi
㷂	ahno
㷼	auko
㸐	akfo
㸦	ahyi
㸧	ahte
㹂	ahnh
㻨	ahny
㼢	ahkn
㼦	amyn
㼹	aynn
㽄	adwn
㽉	ahnn
㽍	afgn
㽎	adwq
㽐	afuo
㽑	afsf
䁂	ahnh
䂬	amyd
䃜	atdd
䅃	amyt
䊄	amyo
䑐	ahni
䑑	ahny
䑓	afpf
䑞	aooh
䒎	adac
䒐	alpc
䒒	angf
䒓	agnb
䒔	awu
䒕	aiu
䒖	anfj
䒗	atnb
䒘	atu
䒙	ahf
䒚	aitr
䒛	axnb
䒜	arhj
䒝	aqqu
䒞	apqb
䒟	amyf
䒠	adhj
䒡	axhj
䒢	aqbj
䒣	amff
䒤	ajf
䒥	agmh
䒦	atpu
䒧	afcu
䒨	atdu
䒩	atu
䒪	acaj
䒫	awau
䒬	afiu
䒭	anfu
䒮	apmy
䒯	apvy
䒰	aagf
䒱	abig
䒲	avta
䒳	amsu
䒴	adef
䒵	avbf
䒶	ajxr
䒷	atdf
䒸	atlf
䒹	adiu
䒺	axiu
䒻	amnb
䒼	amaf
䒽	amqq
䒾	ayeu
䒿	apef
䓀	afkf
䓁	affu
䓂	ayf
䓃	akcb
䓄	aqtr
䓅	airj
䓆	arrj
䓇	afou
䓈	atmc
䓉	aahb
䓊	agkf
䓋	aiqa
䓌	afnu
䓍	ajfj
䓎	aoqy
䓏	agik
䓐	adgn
䓑	aiga
䓒	aqlf
䓓	adtf
䓔	aftb
䓕	afqp
䓖	apwl
䓗	awcn
䓘	athk
䓙	atfx
䓚	ateg
䓛	anbm
䓜	aiqy
䓝	ablf
䓞	aynd
䓟	amfk
䓠	aijf
䓡	atdk
䓢	aldf
䓣	agmy
䓤	aqrn
䓦	amaw
䓧	abkg
䓨	aprm
䓩	asfc
䓪	ajqr
䓫	adsk
䓬	ahjj
䓭	aqsj
䓮	acbt
䓯	agxu
䓰	asff
䓱	ahxs
䓲	awuq
䓳	atve
䓴	admd
䓵	akkk
䓶	agkj
䓷	aith
䓸	avvf
䓹	awye
䓺	augd
䓻	apfv
䓼	avde
䓽	aynb
䓾	aiiv
䓿	aclf
