---config@码表分类=主码-4
---config@码表别名=CJKExt_C
𪟋	afjh
𪟥	agal
𪟬	aed
𪟭	aanh
𪟮	aqnr
𪟯	ajfd
𪟰	awtk
𪟱	aosd
𪟲	aujm
𪠯	akkc
𪡻	ahjd
𪤀	ahnf
𪤱	akfu
𪥎	agdu
𪦑	ahnv
𪧂	ahnb
𪩤	angj
𪩥	anyk
𪩦	anss
𪩩	anwp
𪩪	anww
𪪫	akfl
𪭅	afan
𪭉	agf
𪭊	alv
𪭌	alf
𪭍	awat
𪭎	atld
𪭐	aebd
𪭑	amhh
𪯗	aetv
𪯘	aqat
𪯝	aetg
𪯭	adjf
𪯵	agyn
𪱞	afed
𪲣	afsh
𪴮	ajqw
𪴰	adkw
𪴳	awww
𪵒	ajmc
𪷂	ajdi
𪺧	ahtw
𪺨	ahtf
𪺶	awnh
𫄿	aqkm
𫅷	awsx
𫇅	ahnr
𫇆	ahnh
𫇇	ahnt
𫇈	ahnf
𫇉	ahnm
𫇦	apb
𫇧	awnb
𫇨	akj
𫇩	agf
𫇪	amqu
𫇫	awqu
𫇬	aqqu
𫇭	ayly
𫇮	aant
𫇯	akgn
𫇰	ahjf
𫇱	awbf
𫇲	awff
𫇳	awhf
𫇴	aqvf
𫇵	aveb
𫇶	agmf
𫇷	aftn
𫇸	atj
𫇹	awxw
𫇺	ayff
𫇻	aibb
𫇼	aimy
𫇽	apeu
𫇾	aiff
𫇿	agki
𫈀	akqw
𫈁	alfj
𫈂	amtu
𫈃	aqtg
𫈄	awnw
𫈅	awwk
𫈆	awlk
𫈇	arxb
𫈈	awdk
𫈉	aujf
𫈊	aiyb
𫈋	ayxx
𫈌	apfw
𫈍	anhu
𫈎	acal
𫈏	acej
𫈐	afuf
𫈑	agyu
𫈒	ageu
𫈓	agah
𫈔	ajqf
𫈕	akib
𫈖	aqju
𫈗	atkf
𫈘	awyv
𫈙	atgy
𫈚	aytu
𫈛	apmf
𫈜	aimf
𫈝	annu
𫈞	aiyx
𫈟	abai
𫈠	alkf
𫈡	agmp
𫈢	adjb
𫈣	albb
𫈤	agvi
𫈥	assk
𫈦	amwt
𫈧	ajmy
𫈨	alwj
𫈩	ajfb
𫈪	awxi
𫈫	atdw
𫈬	apwn
𫈭	aiud
𫈮	ayeu
𫈯	augy
𫈰	aiwk
𫈱	ayde
𫈲	ainf
𫈳	aiii
𫈴	awga
𫈵	axqc
𫈶	agme
𫈷	asmk
𫈸	adun
𫈹	adlj
𫈺	asyw
𫈻	adfy
𫈼	aldt
𫈽	alfo
𫈾	awhh
𫈿	awnc
𫉀	arno
𫉁	aepc
𫉂	apjs
𫉃	aitj
𫉄	ayfj
𫉅	avkn
𫉆	alle
𫉇	axic
𫉈	agkr
𫉉	aalw
𫉊	afwy
𫉋	agtj
𫉌	adfn
𫉍	afwt
𫉎	asgk
𫉏	aakc
𫉑	aufj
𫉒	aiph
𫉔	awnh
𫉕	awsk
𫉖	aefb
𫉗	aifu
𫉘	ayvh
𫉙	aiqo
𫉚	ayyn
𫉛	abtv
𫉜	axfm
𫉝	aggn
𫉞	akkf
𫉟	aqqf
𫉠	awfb
𫉡	aeyf
𫉢	arrk
𫉣	aide
𫉤	abjr
𫉥	afwl
𫉦	agqt
𫉧	ajto
𫉨	ajmc
𫉩	akwo
𫉪	atxt
𫉫	awfh
𫉬	aqtc
𫉭	aufq
𫉮	aujw
𫉯	aiwc
𫉰	aigl
𫉱	aoge
𫉲	apff
𫉳	ackc
𫉴	annj
𫉵	afce
𫉷	afuf
𫉸	askw
𫉹	asrf
𫉺	aahi
𫉻	ajsb
𫉼	aldh
𫊀	apwg
𫊁	ainf
𫊂	ayyf
𫊄	axil
𫊅	ajmi
𫊆	atdc
𫊇	atfk
𫊈	awfh
𫊉	aihh
𫊊	aode
𫊋	aiws
𫊌	aglo
𫊍	aann
𫊎	awnf
𫊏	atlf
𫊐	adfq
𫊑	adtl
𫊒	aqof
𫊓	aiao
𫊔	afto
𫊕	atft
𫊖	aeyj
𫊗	aahl
𫊘	ajah
𫊙	aqgf
𫊚	arii
𫊛	akhb
𫊜	allg
𫎡	ahnm
𫐟	api
𫐬	agfp
𫑛	antb
𫑝	atdb
𫑠	aabh
𫑧	akkb
𫔙	auf
𫖅	afdx
𫖆	akfw
𫖇	afwf
𫖉	afae
𫖊	afsj
𫖋	afnc
𫖷	ansm
𫛰	adwg
𫜱	amhd
𪞷	bmah
𪞹	bmvn
𪞺	bmen
𪠱	bcfy
𪣿	btaf
𪤝	bjgf
𪥡	bued
𪦶	bfcy
𪦷	bat
𪦸	buy
𪦹	byy
𪦺	brg
𪦼	brqy
𪦾	bnjw
𪦿	bwge
𪧀	bmmv
𪧁	blfh
𪧄	brcc
𪫽	binu
𪱝	bief
𪳎	bosu
𫆀	bbh
𫆁	bqwy
𫆂	bwgg
𫆄	bdgn
𫆅	bktf
𫆆	bctd
𫆇	besy
𫆊	bamw
𫆋	bgkh
𫆌	buwl
𫆍	bgve
𫆐	bkkf
𫆑	bwgj
𫆒	bpqn
𫆓	bgke
𫏵	bilj
𫔺	bdy
𫔻	byy
𫔼	bmg
𫔽	bcfg
𫔾	bbg
𫔿	bjsh
𫕀	budy
𫕁	bgkg
𫕂	bpqv
𫕂	bpwv
𫕃	bcbb
𫕄	bhwy
𫕅	byjg
𫕆	bgka
𫕇	bgxf
𫕈	bjqn
𫕉	befc
𫕊	bexc
𫕋	bemf
𫕌	brna
𫕍	bpgg
𫕎	bwcn
𫕏	btnf
𫕐	bdqq
𫕑	bqgl
𫕒	bumd
𫕓	bcck
𫕔	bdui
𫕕	bafk
𫕖	bskn
𫕗	byti
𫕘	bxgg
𫛉	bbwo
𪜝	cbaw
𪠂	cvcb
𪠟	cdeq
𪠠	ctdw
𪠡	cdew
𪠥	cef
𪠰	cccj
𪣽	cffb
𪤘	cfas
𪦠	ccvf
𪩬	cqhh
𪩭	csww
𪩮	cfwt
𪩱	cugi
𪪴	cfha
𪱜	ckeg
𪳫	cccm
𪵎	cbmc
𪵨	ciu
𪽡	ctol
𪿆	cbtr
𪿇	cbte
𫊫	cuju
𫊲	cdju
𫌵	ccyf
𫐊	cdlj
𫖭	ckdm
𫘅	ccyy
𫘆	cfwy
𫘇	caqn
𫘈	cmcy
𫘉	coy
𫘊	csg
𫘋	cgmg
𫘌	chaq
𫘍	ckmk
𫘏	cdmd
𫘐	ctgf
𫘑	cugd
𫘒	cgef
𫘓	clwt
𫘔	cwqj
𫘕	cuvo
𫘗	casw
𫘙	cmgo
𫘚	colw
𫘛	cfh
𫘜	cyy
𫘝	cnwy
𫘞	ctbn
𫘟	chcy
𫘠	cgcf
𫘡	ciqn
𫘢	cskg
