---config@码表分类=主码-6
---config@码表别名=CJKExt_E
𫠠	agn
𫠣	anwi
𫡪	afsn
𫤧	alqq
𫤱	adwh
𫤴	adwj
𫦕	aprj
𫦚	agkj
𫦮	adwl
𫦰	apll
𫦽	akgg
𫧈	adqx
𫧈	adwx
𫧋	abk
𫧋	abv
𫧌	agny
𫧌	andi
𫧍	ajd
𫧎	ahd
𫧏	awwi
𫧐	ahd
𫧑	agjg
𫧒	amgk
𫧓	agey
𫧕	atdq
𫧖	aagw
𫧗	awkk
𫧘	arhd
𫧙	awvf
𫧚	apdw
𫧚	apgw
𫧛	abbd
𫧜	akkb
𫧝	aujm
𫧝	aujw
𫨼	awhc
𫩋	aimc
𫩋	awmc
𫫸	afwk
𫮤	aihf
𫮭	akgk
𫮱	adwf
𫮱	adwh
𫯊	afsl
𫯑	adqq
𫯑	adwq
𫯔	adwq
𫯘	adwq
𫰅	aqod
𫱃	ahnv
𫲩	adkb
𫴰	augf
𫵄	amdi
𫵐	antq
𫵐	anyq
𫶫	agwc
𫶫	awcy
𫶬	atdu
𫶮	aafc
𫶱	agnj
𫶳	alfj
𫸓	atfp
𫸗	anta
𫸗	anya
𫹲	aqni
𫹲	aqnu
𫹳	anu
𫺗	ahtn
𫺮	ahnn
𫺯	awnn
𫻐	amyh
𫻨	ady
𫻩	adhk
𫻪	ani
𫻪	anv
𫻫	afii
𫻯	amww
𫻱	auqi
𫻳	adkh
𫻸	adad
𫻼	awyd
𫻾	avld
𫻿	afku
𫼃	aqd
𫼃	atvo
𫼃	awvo
𫼇	alhw
𫼇	almi
𫾱	ahkt
𫿁	alty
𫿈	ahat
𫿉	ahkt
𫿍	amwt
𫿹	amhr
𬀥	aqkw
𬀥	atnw
𬃯	ansg
𬆟	aqmc
𬆟	atnc
𬋎	apgo
𬋖	afuo
𬌖	arin
𬌗	ahtk
𬌘	ahtt
𬌘	ahty
𬎥	agnn
𬎥	agny
𬎥	agxy
𬎱	afes
𬎲	adqg
𬐜	aflf
𬐝	aalf
𬐱	ahnl
𬐾	adql
𬑤	ajdh
𬔛	anuf
𬚌	adwx
𬛣	ahkh
𬛥	ahnd
𬛦	ahnu
𬛧	ahnb
𬛩	ahnf
𬛪	ahkj
𬛫	ahnj
𬜠	aqb
𬜡	amj
𬜢	aqyu
