---config@码表分类=主码-7
---config@码表别名=CJKExt_F
𬺽	agqv
𬻀	aaj
𬻂	abk
𬻂	ajk
𬻋	aayi
𬻎	alkd
𬼖	agd
𬼞	avd
𭀃	ajfq
𭀟	awqv
𭁔	amgw
𭁔	aluu
𭁚	awue
𭁞	adwn
𭁫	anmf
𭃪	aplj
𭃵	ackj
𭃾	axjj
𭄚	akkj
𭄟	alr
𭄭	adwl
𭄮	ahtl
𭄯	ahtl
𭄳	aegl
𭄿	awyl
𭅌	adwy
𭅔	axv
𭅕	agfk
𭅖	afk
𭅗	ald
𭅘	aygd
𭅙	agcf
𭅚	aqqi
𭅛	aiwc
𭅜	aafw
𭅝	ajvu
𭅞	anbt
𭅞	aght
𭅧	adwa
𭆆	ahtd
𭆑	ahtn
𭆧	acy
𭆳	ahnc
𭈻	ajtg
𭊢	afhx
𭊬	affa
𭋆	aqkk
𭏞	awwf
𭏶	akgf
𭐅	akgq
𭐢	adtu
𭒀	ahtv
𭒯	ankv
𭔪	aqfy
𭔫	amfu
𭔶	adqf
𭔶	adwf
𭔹	agcf
𭕲	ahtn
𭘃	aghu
𭘄	agqb
𭘅	aqyy
𭘇	atkg
𭘈	anwn
𭘍	ahnn
𭘎	aawb
𭘧	abph
𭘷	aqkh
𭚡	and
𭚣	agoj
𭛙	ajse
𭜑	anu
𭜹	aqrn
𭜺	ahtn
𭝨	ahnn
𭞍	aftn
𭞏	ahnn
𭞱	adkb
𭟏	ahnn
𭟮	agd
𭟰	ahf
𭟴	ahjd
𭟵	aqmf
𭟻	akgg
𭟻	akgf
𭣚	ajgy
𭣵	axtu
𭣹	aehc
𭣺	aytu
𭣼	ahth
𭤡	amrj
𭨂	ajxw
𭩠	ahsu
𭩢	ansu
𭪙	aufs
𭪙	audw
𭪙	aufi
𭬟	akps
𭬽	alms
𭭏	aoqw
𭭕	awyw
𭭡	adhf
𭯜	ajtn
𭯠	ahtn
𭰭	adwi
𭴃	aou
𭴸	ahno
𭵌	adoy
𭵧	ahno
𭵳	ahno
