---config@码表分类=主码-10
---config@码表别名=CJKExt_I
𮵾	ahni
𮶛	aab
𮶜	adf
𮶝	ayqu
𮶞	anuu
𮶟	auff
𮶠	admh
𮶡	akfj
𮶢	aysu
𮶣	auwc
𮶤	aifc
𮶥	aiyn
𮶦	agtu
𮶧	awmh
𮶨	autu
𮶨	auti
𮶩	aqtd
𮶪	auqu
𮶫	aiju
𮶬	aqgu
𮶭	ayng
𮶮	apuc
𮶯	aghq
𮶯	agmq
𮶰	ajef
𮶱	aiyb
𮶲	anaj
𮶳	axwy
𮶴	awyn
𮶵	aipg
𮶶	aiuo
𮶷	aiaw
𮶸	agag
𮶹	aiui
𮷣	afqp
𮸮	afmq
𮹜	akug
𮹜	aukg
𮱝	bthn
𮶏	bqug
𮶐	bmg
𮶑	bgyy
𮶒	bffg
𮶓	batq
𮷫	blbh
𮸨	bgeg
𮸩	bjtg
𮸪	bqtk
𮰓	cnwy
𮷠	cfpd
𮷠	cfpi
𮷦	cbdp
𮹁	cqug
𮹂	cnuy
𮹃	cccy
𮹄	cgbn
𮹅	cgsy
𮹆	cnah
𮹇	ctaf
𮹈	cpdc
𮹉	cgeg
𮹊	ceeg
𮹋	cmfk
𮹌	cjlg
𮹍	cthn
𮹎	cjlc
𮹏	cfpu
𮹐	cjjj
𮰌	dejh
𮰍	diln
𮰑	divd
𮰒	dwwv
𮰵	dfkf
𮱑	dhqv
𮲌	djfa
𮲍	dakf
𮲎	ddmy
𮲎	ddmt
𮳿	dddd
𮵉	dqyy
𮵊	dfnh
𮵋	dtah
𮵌	dbnn
𮵍	dtdg
𮵎	dfff
𮵏	dgmf
𮵐	diqb
𮵑	dybh
𮵓	dmdg
𮵔	dqmd
𮵕	dadt
𮵕	dady
𮵖	dtky
𮵗	dytb
𮷞	dpk
𮷞	dpi
𮷨	dlbh
𮸤	dgdy
𮸴	dmmy
𮹝	dxdx
𮯱	etny
𮲪	ewfh
𮲫	etfq
𮶔	efnh
𮶕	eqfh
𮷄	epmq
𮷩	ebh
𮯰	fjd
𮰊	fomn
𮰏	fvqb
𮰐	fhxq
𮰙	fnd
𮰙	fnv
𮰚	fcyy
𮰛	fwfg
𮰜	fubh
𮰞	fqkg
𮰢	fgty
𮰣	fyff
𮰤	fhdy
𮰥	fqmd
𮰦	fdwd
𮰧	fjug
𮰨	fhjs
𮰩	faya
𮰪	fqrq
𮰫	fydn
