---config@码表分类=主码-11
---config@码表别名=符号编码
☯	dslt
──	drkg
_	gaxg
m²	gyoy
±	gqkg
……	ilkg
℃	rqya
©	tskg
‰	twkg
m³	uyoy
∶	xxkg
°	yaci
$ddcmd(newkey(zzbd),bd\标点括号\、，。)	zz
$ddcmd(newkey(zzss),sz\数字\❶❷⓴)	zz
$ddcmd(newkey(zzpp),pp\偏旁\亻彳讠)	zz
$ddcmd(newkey(zzdw),dw\单位\㎎㎜℃)	zz
$ddcmd(newkey(zzpy),py\拼音\āōē)	zz
$ddcmd(newkey(zzjt),jt\箭头\←→↑)	zz
$ddcmd(newkey(zzys),ys\圆圈数字\①②㊿)	zz
$ddcmd(newkey(zzks),ks\括号数字\⑴⑵⒇)	zz
$ddcmd(newkey(zzds),ds\点号数字\⒈⒉⒛)	zz
$ddcmd(newkey(zzzs),zs\中文数字\㈠㈡㈩)	zz
$ddcmd(newkey(zzld),ld\罗马大写\ⅠⅡⅢ)	zz
$ddcmd(newkey(zzlx),lx\罗马小写\ⅰⅱⅲ)	zz
$ddcmd(newkey(zzts),ts\特殊符号\⊠◙▒)	zz
$ddcmd(newkey(zzsx),sx\数学符号\＋－＜)	zz
$ddcmd(newkey(zzhb),hb\货币符号\€＄￠)	zz
$ddcmd(newkey(zzzb),zb\制表符号\┌└┐─)	zz
$ddcmd(newkey(zzzy),zy\注音符号\ㄅㄆㄇ)	zz
$ddcmd(newkey(zzxd),xd\希腊大写\ΑΒΓ)	zz
$ddcmd(newkey(zzxx),xx\希腊小写\αβγ)	zz
$ddcmd(newkey(zzed),ed\俄文大写\АБВ)	zz
$ddcmd(newkey(zzex),ex\俄文小写\абв)	zz
$ddcmd(newkey(zzrd),rd\日文大写\ァアィ)	zz
$ddcmd(newkey(zzrx),rx\日文小写\ぁあぃ)	zz
$ddcmd(newkey(zzkk),kk\KK音标\a:ædʒ)	zz
$ddcmd(newkey(zzax),ax\爱心图标\❤♥დ)	zz
$ddcmd(newkey(zzbq),bq\常用表情\☺😀🎃)	zz
$ddcmd(newkey(zzdg),dg\打钩叉\✔✗☒)	zz
$ddcmd(newkey(zzqh),qh\圆圈汉字\㊣㊎㊝)	zz
$ddcmd(newkey(zzyw),yw\英文修饰\⒜Ⓗⓨ)	zz
$ddcmd(newkey(zzns),ns\鸟兽虫鱼\🐵🐼🐕)	zz
$ddcmd(newkey(zzgx),gx\国际象棋\♔♝♙)	zz
$ddcmd(newkey(zzzx),zx\中国象棋\🩠🩪🩭)	zz
$ddcmd(newkey(zzhw),hw\韩文字符\ㄶㅄㅱ)	zz
$ddcmd(newkey(zzhd),hd\花朵雪花\✿❉❀)	zz
$ddcmd(newkey(zzcx),cx\交通工具\🚅🚌✈)	zz
$ddcmd(newkey(zzjd),jd\角度符号\⦫⦧⦣)	zz
$ddcmd(newkey(zzmj),mj\麻将牌\🀀🀄🀒)	zz
$ddcmd(newkey(zznn),nn\男女标识\♂♀⚦)	zz
$ddcmd(newkey(zzpk),pk\扑克牌\♣♥♠)	zz
$ddcmd(newkey(zzqy),qy\企业办公\✂☎✉)	zz
$ddcmd(newkey(zzql),ql\球类游戏\🎾🎱🎳)	zz
$ddcmd(newkey(zzsj),sj\三角形\►△◤)	zz
$ddcmd(newkey(zzsb),sb\上标下标\²₅ₑ)	zz
$ddcmd(newkey(zztm),tm\时间时钟\🕐1点)	zz
$ddcmd(newkey(zzsw),sw\食物\🍎🍇🍐)	zz
$ddcmd(newkey(zzss),ss\手势\☛👋👆)	zz
$ddcmd(newkey(zztz),tz\特殊字母\ÊÑą)	zz
$ddcmd(newkey(zztq),tq\天气\☀❄☁)	zz
$ddcmd(newkey(zzds),ds\骰子点数\⚀⚄⚅)	zz
$ddcmd(newkey(zzwz),wz\文化宗教\☯✞卍)	zz
$ddcmd(newkey(zzls),ls\线段\┌╮╝┼)	zz
$ddcmd(newkey(zzxq),xq\星球日月\🌏🌙💫)	zz
$ddcmd(newkey(zzxz),xz\12星座\♈♏♋)	zz
$ddcmd(newkey(zzyj),yj\易经64卦\䷀䷐䷹)	zz
$ddcmd(newkey(zzbg),bg\易经八卦\☰☷☲)	zz
$ddcmd(newkey(zzyy),yy\音乐符号\♫ߎ֢٭)	zz
