---config@码表分类=主码-系统码表
---config@码表别名=系统码表
戈	a
式	aa
节	ab
芭	ac
基	ad
菜	ae
革	af
七	ag
牙	ah
东	ai
划	aj
或	ak
功	al
贡	am
世	an
蒌	ao
芝	ap
区	aq
匠	ar
苛	as
攻	at
燕	au
蒋	au
切	av
共	aw
药	ax
芳	ay
工	aaa
式	aad
葚	aad
苷	aaf
芽	aah
戒	aak
苣	aan
荛	aat
荫	abe
蒸	abi
茸	abf
邛	abh
节	abj
茁	abm
芤	abn
菰	abr
萨	abu
茎	aca
芭	acb
苔	ack
莽	ada
苊	adb
茇	adc
戎	ade
苦	adf
葳	adg
荐	adh
藉	adi
菲	adj
若	adk
苈	adl
项	adm
茂	adn
蕨	adu
其	adw
茏	adx
艿	aeb
藐	aee
苴	aeg
艿	aer
菜	aes
散	aet
藤	aeu
荽	aev
芨	aey
鞯	afa
邯	afb
靶	afc
芰	afc
甘	afd
芏	aff
蒜	afi
革	afj
勒	afl
贰	afm
苇	afn
鞍	afp
鞠	afq
靳	afr
某	afs
著	aft
蓍	aft
鞒	aft
蔷	afu
鞭	afw
芙	afw
荆	aga
匡	agd
莆	age
芋	agf
廿	agh
苤	agi
蕙	agj
蔌	agk
芾	agm
七	agn
匚	agn
莱	ago
葬	agq
茉	ags
廾	agt
苹	agu
萋	agv
荑	agx
蘧	aha
菲	ahd
芷	ahf
苜	ahf
菽	ahi
苫	ahk
赜	ahk
臣	ahn
牙	aht
茈	ahx
茳	aia
范	aib
菹	aie
薄	aig
菠	aih
东	aii
藻	aik
荡	ain
鸫	aiq
蒎	air
菏	ais
落	ait
汞	aiu
茫	aiy
蕞	ajb
莫	ajd
萌	aje
昔	ajf
划	ajh
草	ajj
蔓	ajl
葛	ajq
蓝	ajt
茧	aju
郾	ajv
葺	akb
叵	akd
或	akg
匮	akh
颧	akk
莴	akm
或为	ako
茵	ald
苗	alf
匣	alk
茴	alk
荔	all
功	aln
莲	alp
萝	alq
菌	alt
功	alt
匦	alv
苏	alw
芟	amc
英	amd
苒	amf
茼	amg
匝	amh
萜	amh
苘	amk
苋	amq
贡	amu
黄	amw
巩	amy
苠	ana
艺	anb
芑	anb
巨	and
蔚	anf
蔬	anh
忒	ani
薜	ank
贳	anm
蕊	ann
芯	anu
世	anv
蓼	anw
苡	any
蒌	aov
菪	apd
蒙	apf
蒙	apg
荥	api
萤	apj
营	apk
劳	apl
茕	apn
荧	apo
莺	apq
荦	apr
荣	aps
芝	apu
蓉	apw
萦	apx
芪	aqa
苑	aqb
葡	aqg
区	aqi
荀	aqj
茗	aqk
敬	aqk
菟	aqk
殴	aqm
苞	aqn
菊	aqo
欧	aqq
萄	aqr
获	aqt
艾	aqu
匹	aqv
芡	aqw
芍	aqy
