---config@码表分类=主码-次显码表
---config@码表别名=emoji
7⃣	ag
☦	agft
☹	adny
♋	aqyw
♠	awqc
♣	ajwx
♣	awqc
♥	awqc
♦	awqc
⚒	apfc
⚕	at
⚕	atub
⚕	atip
⚗	abqn
⚜	aqnt
⚜	anaw
⚠	aqtf
⚠	aqfi
⛲	awlf
✝	adhi
✝	ahft
🇦🇸	aayg
🇦🇼	anbc
🇪🇺	aqje
🇫🇮	awuf
🇬🇧	amlg
🇯🇲	anlk
🇰🇮	ajca
🇱🇰	ajuh
🇱🇸	afrt
🇲🇳	apdg
🇲🇿	acxd
🇳🇱	awuf
🇵🇭	atpr
🇵🇹	aaah
🇸🇩	almy
🇸🇮	aiyg
🇸🇰	aiwd
🇸🇷	ajfm
🇸🇻	aqgq
🇸🇿	adfu
🇹🇱	auiy
🇼🇸	aygo
🈺	ap
🌆	amqa
🌆	ajqc
🌇	amqa
🌍	aqiy
🌐	anlw
🌷	aw
🌸	aw
🌹	aw
🌹	afat
🌺	aw
🌺	afap
🌻	aw
🌻	awaw
🌼	aw
🌼	aqo
🌼	aqaw
🌽	aqoy
🌿	aj
🌿	ajax
🍂	amkf
🍂	aikf
🍃	aikf
🍄	alt
🍄	alod
🍄	ayav
🍅	atal
🍆	albb
🍇	aqaq
🍍	aial
🍎	agjs
🍏	agjs
🍓	ajat
🍟	alts
🍩	adlt
🍫	adlt
🍳	aqnh
🍵	aw
🍷	aais
🎆	awoo
🎇	awoo
🎋	agqt
🎋	aqsc
🎨	ansy
🎯	afny
🎱	aydq
🎱	aavg
🎷	adad
🎷	adam
🏗	aafb
🏜	ayia
🏥	atbp
🏧	atm
🏭	aadg
🏺	awua
🐛	agjh
🐝	amjt
🐞	ajsj
👒	ajmh
👞	afff
👞	afbb
👟	afff
👟	afbb
👠	afff
👠	afbb
👡	afff
👡	afbb
👢	afwx
👢	afbb
👬	adwf
👮	aqpw
👷	aaww
👷	atjg
💊	ax
💊	axvy
💍	aarx
💐	aw
💐	awgk
💮	abye
💮	agpy
💶	aqfq
💷	amqu
🔤	amyy
🔤	ayqt
🔪	av
🔪	aevn
🔵	ajbb
🔶	afga
🔷	afga
🔸	afga
🔹	afga
🕖	aghk
🕢	ahuf
🗺	alfl
😈	ahgo
😍	awut
😍	awny
😖	adny
😞	arew
😱	amnd
😱	amnh
😲	amnd
😲	amnh
😳	aiqd
😵	amnd
😵	amnh
😻	awut
😻	awny
🙀	amnd
🙀	amnh
🙇	aftm
🚑	atbp
🚓	aqlg
🚔	aqlg
🚣	ajte
🚨	aqos
🚨	aqfi
🚿	awis
🚿	aaud
🛌	ahqg
🛏	ahqg
🛑	aqtf
🛠	aahw
🛠	ahts
🤥	aygm
🤬	aghh
🤬	aicn
🥒	amrc
🥔	atal
🥗	aair
🥜	awtg
🥞	aiqn
🥦	aeaw
🥦	awae
🦕	amdx
🦖	amdx
⏬	bt
⏬	btwq
☂	bjwu
☯	bebj
⛱	bjwu
✌	bb
➗	bw
➗	bwkg
🇦🇪	bbus
🇦🇫	bpif
🇦🇱	bqcg
🇦🇷	bstf
🇦🇼	bqcn
🇦🇿	bprx
🇧🇩	blru
🇧🇩	blrl
🇩🇿	bqeg
🇴🇲	bsjl
🇺🇳	bwlg
🇾🇪	bnuy
🌂	bjwu
🌚	beju
🌚	beya
🌚	bebw
🌚	bjdm
🌝	bjya
🌥	be
🌥	begd
🌦	blfg
🎧	bgyt
🎧	bgsm
🎧	bgpf
🏧	bfsm
👂	bg
👂	bgms
👵	bsih
💂	bgfg
💝	bmpy
💬	bqgd
🔀	bdsm
🔀	bsry
🔀	bstg
🔗	buxf
🔻	bt
🔻	btwq
🔽	bt
🔽	btwq
🗯	bqgd
😇	buje
😶	bdwg
🚀	bmtf
🚁	bmtf
🚄	bmtf
🚇	bmtf
🚈	bmtf
🚊	bmtf
🚌	bmtf
🚐	bmtf
🚕	bmtf
🚕	btlg
🚖	btlg
🚗	bmtf
🚙	bmtf
🚠	bmtf
🚢	bmit
🚢	bmtf
🚫	bvrm
🚹	btuj
🚺	btuj
🚻	btuj
🚼	btuj
🚽	btuj
🚾	btuj
🛩	bmtf
🛬	btai
🛰	bgjt
🤡	bmnf
☹	cwfp
♊	cbyw
♓	cqyw
⛷	ccsr
⛷	csif
✅	c
✅	cfqc
✅	cfkg
✔	cfqc
✔	cfkg
✖	cy
❎	cy
㊗	cqyd
🆚	cfxx
🆚	cfun
🆚	cfry
🇧🇧	ccqa
🇧🇭	cnss
🇧🇷	cnsg
🇧🇸	ckcn
🇰🇳	caaa
🇱🇨	chsg
🇲🇬	cdll
🇲🇭	cxqq
🇲🇰	cagb
🇲🇱	cnjf
🇲🇹	cbwb
🇲🇻	cqwf
🇲🇼	crxw
🇲🇾	cgsg
🇵🇦	cwcn
🇵🇬	cdgg
🇵🇰	caaf
🇵🇸	caaf
🇵🇾	crff
🇸🇲	ccly
🇸🇹	cqux
🇹🇼	ckiy
🇻🇨	cysa
🌀	ckmq
🌮	cnqn
🌯	cnqn
🍖	cqev
🍗	cqev
🍸	cnis
🎀	cqyd
🎄	cysc
🎅	cfyt
🎅	cyfw
🎆	cqyd
🎇	cqyd
🎈	cqyd
🎉	cqyd
🎊	cqyd
🎏	cqyd
🎒	cyqn
🎠	cn
🎪	cnca
🎪	cclf
🎱	ckgf
🏇	cn
🏇	cnsy
🏇	cdcn
🐎	cn
🐓	cq
🐓	cqmw
🐔	cq
🐔	cqud
🐝	cnjt
🐤	cq
🐤	cqud
🐥	cq
🐪	ctcp
🐫	ctcp
🐴	cn
🐴	cnud
🐻	cexo
🐼	ceqt
👀	cchv
👐	ccrt
👥	ccww
👯	ceec
👼	cfwq
💸	cyqg
📅	ckdl
📆	ckdl
📉	ceym
📞	ceyn
📞	cyvi
📡	ceyn
🕰	ckqk
🖥	casm
🗓	ckdl
🗯	cfrr
🗯	cysa
😞	cwfp
😣	cwep
😩	cwfp
😫	cwfp
😭	cwfp
🙁	cwfp
🙋	cqqb
🙌	cqyd
🙏	cgfh
🙏	crwf
🚌	cnfg
🚲	cdlg
🚴	cdlg
🚴	cttl
🚵	cdlg
🚵	cttl
🚽	cnsc
🛂	ceud
🤕	cwep
🤡	cclf
🤢	cwkt
🤥	cy
🤥	cyww
🤥	cybb
🤴	cwcn
🤶	cfyt
🤶	cyfw
🤹	caif
🤼	cbut
🥔	cqal
🥚	cqnh
3⃣	dg
‼	dkkg
⁉	dkkg
↔	dadk
↖	dahh
↗	dkhh
↘	dkgh
↙	dagh
↩	da
↪	dk
⏱	dcge
▶	dk
◀	da
☀	dybj
☂	dbwu
☄	dhjt
☑	dqpg
☘	dkaj
☠	degx
☢	dbxu
☯	dyse
⚓	dcud
⚛	drbb
⚛	dbsy
⛅	dybj
⛱	dbwu
❕	dkkg
❗	dkkg
❣	dkkg
➡	dk
⬅	da
🇧🇫	daxf
🇧🇮	dbmp
🇧🇲	dadd
🇧🇲	dadq
🇨🇺	dgcn
🇪🇨	drqq
🇪🇷	dutg
🇫🇯	djiy
🇬🇧	dggl
🇭🇷	dlfg
🇹🇭	dwlg
🌀	dumq
🌂	dbwu
🌍	djiy
🌏	diiy
🌞	dybj
🌞	dbiq
🌠	dhjt
🌤	dybj
🌧	ddfg
🌪	dumq
🌷	dqtj
🍜	dm
🍜	dmts
🍝	dm
🍝	dmts
🍞	dmqn
🍣	dtng
🍮	dmsg
🍱	ddhq
🍻	dusg
🍽	dptn
🎃	dcab
🎑	dhnh
🎭	dmhw
🏃	dfkh
🏙	ddso
🏢	ddso
🏢	dddd
🏬	djwx
🏬	dwds
🏰	dgwk
🐉	dx
🐘	ddqj
🐣	dhfp
🐲	dx
🐲	dxud
🐷	dwjj
🐷	dwsf
🐼	dcqt
👄	dfek
👈	da
👉	dk
👍	drrx
💄	dfes
💄	dfyp
💋	dfqg
💑	dgng
💗	dwny
💥	duru
💩	ddwg
💫	dhjt
💰	deqg
💰	dqww
💸	dhmf
💸	dhut
💾	dute
📌	duqs
📌	duqf
📍	duqs
📍	duqf
📐	dqsr
📐	dqny
📲	dhty
📼	dugk
🔙	da
🔚	da
🔛	dadk
🔜	dk
🔠	ddpg
🔠	dppx
🔱	dcfj
🔺	dgqe
🔻	dgqe
🕋	dqrr
🕒	dghk
🕞	dhuf
🕶	dbqu
🖐	dm
🗃	dhsi
🗜	dfxp
🗣	ddkd
🗿	dgmf
🗿	dgwq
😂	diyt
😅	dndn
😐	dfgn
😑	dfgn
😔	djwt
😢	ddkk
😢	dndn
😩	ddkk
😩	deun
😫	ddkk
😫	deun
😭	ddkk
😷	dgjh
😹	diyt
🙆	dvbn
🙇	dfud
🙈	dpqp
🙉	dpqk
🙏	dgyt
🙏	dytr
🙏	dign
🚃	dljl
🚄	deie
🚄	deil
🚅	deie
🚅	deil
🚋	dljl
🚌	ddcn
🚌	dclg
🚍	ddcn
🚍	dclg
🚐	dqlg
🚝	deie
🚝	deil
🚹	dmrn
🚺	dmrn
🚻	dmrn
🚼	dmrn
🚽	dmrn
🚾	dmrn
🛄	dhqn
🛅	dhqn
🤝	dcyp
🤢	degx
🤣	ddtt
🤥	derh
🤥	deyu
🤧	dgjh
🤩	ddpd
🤴	dybb
🥂	dusg
🥃	dfnn
🥐	dmqn
🥕	dahh
🥘	diqk
🥙	djic
🥝	dnjs
🥣	dp
🥨	ddqn
🥪	djic
🦀	duqe
🦁	dcqt
🦃	dlab
🦍	dqqt
🦐	ddjg
🧐	dgpw
🧠	ddey
🧥	ddye
⌚	epge
❤	ep
❤	epny
🇪🇪	eing
🇮🇪	equf
🈶	e
🈷	e
🌈	esja
🌑	e
🌑	eewy
🌑	eeqn
🌑	eesh
🌒	e
🌒	eesh
🌓	e
🌓	eesh
🌔	e
🌔	eesh
🌔	ehee
🌕	e
🌕	eeyp
🌕	eegf
🌕	eesh
🌕	eelk
🌖	e
🌖	eesh
🌗	e
🌗	eesh
🌘	e
🌘	eesh
🌙	e
🌙	eeyp
🌙	eesh
🌙	eeah
🌚	elmy
🌛	eeah
🌜	eeah
🌝	e
🌝	eeiq
🌝	eeyp
🌝	eepy
🍊	eysw
🎊	esgf
🎞	euud
🎞	euth
🏵	eqqf
🏻	efw
🏻	efqc
🏼	efw
🏼	efqc
🏽	efw
🏽	efqc
🏾	efw
🏾	efqc
🏿	efw
🏿	efqc
🐆	eeqy
🐆	eebb
🐖	ecqt
🐾	ef
🐾	efhi
🐾	efqg
👣	ef
👣	efhi
👣	efqg
💁	etkm
💊	eugk
💑	ep
💑	epng
💗	epny
💝	espy
💪	em
💪	emmw
📛	eqth
🕴	egpw
😊	ewxa
😳	ewxa
🛎	etqw
🤕	epwt
🤰	ebvv
🧀	ebsg
🧠	ey
🧠	eybb
#⃣	fjk
#⃣	fjkg
#⃣	fkqv
0⃣	fwyc
2⃣	fg
⏫	fu
⏫	fuym
⏫	fulk
Ⓜ	fbqr
☁	fcu
☂	fgwu
☃	fv
☃	fvww
☔	fghy
☔	fgwu
☺	fkcq
♿	fbdj
♿	fbdy
⚓	fqng
⛄	fv
⛄	fvww
⛈	fghy
⛈	flfg
⛈	fbfg
⛔	ffkh
⛪	ftip
⛺	fkpw
✋	fmip
✝	fplk
❄	fv
❄	fvaw
❤	fkcq
🆓	free
🆘	fiwg
🆘	fifi
🇦🇶	fmse
🇦🇶	fsiy
🇧🇼	fagx
🇩🇯	fdrj
🇪🇬	fcey
🇪🇹	fpwg
🇬🇮	fdlb
🇬🇶	fumg
🇬🇾	fgvf
🇰🇬	fqff
🇰🇵	fjqg
🇰🇷	fjlg
🇱🇦	ftrf
🇸🇴	fcjf
🇸🇸	famy
🇹🇯	ffdf
🇹🇲	fyjf
🇹🇷	fbad
🇹🇿	fcng
🇻🇳	fhfm
🇿🇦	fmdj
🈚	fq
🌁	fe
🌁	ftl
🌁	ftfe
🌁	ftrn
🌂	fgwu
🌄	fjbj
🌅	fjbj
🌍	fbgf
🌎	fbgf
🌏	fbgf
🌐	fbgf
🌖	fhee
🌦	fghy
🌧	fghy
🌨	fv
🌩	fl
🌩	fghy
🌫	fe
🌫	ftl
🌫	ftfe
🌫	ftrn
🍀	ffaj
🍓	fqkt
🍠	fbrc
🍨	fvou
🍻	fgsg
🎃	fmrc
🎎	fwvv
🎎	fwgv
🎢	fmlg
🎢	ffnl
🎰	fhsm
🎸	fkwb
🎸	fkpx
🎿	fvsd
🏔	fvmm
🏕	fkap
🏙	fdym
🏙	ftym
🏟	fffn
🏪	fhym
🏯	fdwk
🏰	fdwk
🐀	ftvn
🐁	ftvn
🐅	ftha
🐨	ftru
🐭	ftvn
🐯	ftha
🐹	ftvn
👍	fhsd
👎	fufe
👏	fkip
👟	ffaf
👫	fwvv
👫	fwgv
👴	ftud
👴	fwwq
👵	ftdy
👵	fdih
👵	fddy
👻	fcr
👻	fcrr
💒	ftip
💖	fhny
💣	fl
💧	fgiu
💬	fqyg
💰	ffyp
💸	fnrk
💽	fnlk
💿	fnlk
📀	fnlk
📇	fpxh
📉	fnrk
📊	fylt
📏	fhny
📡	fldp
📳	fdfc
🔞	fwss
🔟	fg
🔧	fhbb
🔱	fja
🔺	fu
🔺	fuym
🔺	fulk
🔼	fu
🔼	fuym
🔼	fulk
🕌	ftip
🕍	ftip
🕙	fghk
🕚	fghk
🕛	ffhk
🕛	fwhk
🕥	fhuf
🕦	fghk
🕧	ffhu
🕳	fbim
🕴	faud
🖐	fmip
🗑	fufe
🗑	ffto
🗑	ffsc
🗑	fftm
🗺	fblt
😂	fsdi
😊	fnaj
😌	fryl
😍	fkcq
😐	fqdu
